Annotation Symbol,Brain_female,Brain_male,Carcass_female,Carcass_male,Eye_female,Eye_male,MTube_fem,MTube_male,SGland_female,SGland_male
CG15580,0.2 ± 0.1,0.2 ± 0.1,0.0 ± 0.0,0.6 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.6,0.0 ± 0.0,0.2 ± 0.0
CG12306,0.2 ± 0.2,0.4 ± 0.3,6.3 ± 5.7,1.0 ± 0.9,0.6 ± 0.3,0.2 ± 0.0,1.4 ± 1.8,0.8 ± 1.2,20 ± 18,1.4 ± 1.6
CG14156,0.1 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG9565,28 ± 2.1,27 ± 0.3,2.2 ± 0.5,3.1 ± 0.5,3.8 ± 0.3,4.1 ± 0.2,8.3 ± 0.1,8.5 ± 1.0,13 ± 2.4,21 ± 0.4
CG10680,6.3 ± 3.6,2.7 ± 1.8,199 ± 69,266 ± 29,125 ± 9.2,96 ± 42,3.8 ± 0.5,3.2 ± 0.5,5.9 ± 1.9,25 ± 0.7
CG7194,0.6 ± 0.3,0.4 ± 0.2,2.0 ± 1.1,2.7 ± 0.6,1.1 ± 0.4,0.9 ± 0.2,1.0 ± 0.2,2.3 ± 0.6,0.8 ± 0.3,1.0 ± 0.1
CG9307,0.3 ± 0.1,0.2 ± 0.1,1.4 ± 0.4,1.5 ± 0.2,0.6 ± 0.0,1.4 ± 0.7,0.7 ± 0.2,0.8 ± 0.3,0.0 ± 0.0,0.4 ± 0.2
CG34125,13 ± 1.9,13 ± 0.8,14 ± 2.2,14 ± 1.2,16 ± 0.5,16 ± 1.2,9.9 ± 2.1,9.6 ± 6.1,10 ± 0.9,17 ± 3.6
CG15377,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG4385,7.1 ± 1.2,7.8 ± 0.7,3.2 ± 0.6,2.6 ± 0.2,5.4 ± 0.3,7.8 ± 1.4,2.3 ± 0.5,2.7 ± 1.1,4.4 ± 1.7,3.5 ± 0.2
CG43081,0.2 ± 0.2,0.4 ± 0.5,5.5 ± 4.3,0.2 ± 0.2,0.3 ± 0.1,0.1 ± 0.0,1.2 ± 1.5,0.3 ± 0.3,8.9 ± 7.5,0.8 ± 0.9
CG6401,4.6 ± 0.5,4.7 ± 0.2,1.7 ± 0.4,1.4 ± 0.4,2.8 ± 0.3,3.1 ± 0.1,0.6 ± 0.3,0.5 ± 0.3,1.6 ± 0.7,1.3 ± 0.2
CG12464,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.3 ± 0.6,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.9 ± 2.8,0.0 ± 0.0,0.3 ± 0.3
CG4488,35 ± 4.1,36 ± 3.2,5.3 ± 0.6,5.3 ± 0.2,8.7 ± 0.1,11 ± 0.5,5.6 ± 1.1,5.8 ± 0.3,5.3 ± 2.0,4.9 ± 0.1
CG9611,11 ± 0.3,12 ± 0.4,9.1 ± 1.2,12 ± 1.8,19 ± 0.3,23 ± 1.7,12 ± 1.9,11 ± 3.3,4.7 ± 0.0,7.5 ± 0.5
CG15066,0.6 ± 0.3,0.2 ± 0.3,3.2 ± 1.8,3.1 ± 1.1,5.8 ± 0.4,5.4 ± 2.2,0.6 ± 1.0,0.4 ± 0.3,0.5 ± 0.7,1.6 ± 1.2
CG17834,0.5 ± 0.1,0.3 ± 0.0,3.7 ± 0.2,4.6 ± 0.1,2.5 ± 0.3,2.9 ± 0.2,26 ± 3.5,25 ± 4.3,5.4 ± 0.5,9.2 ± 0.3
CG1939,11 ± 1.1,11 ± 0.4,6.1 ± 1.1,8.3 ± 0.6,18 ± 0.4,20 ± 0.7,9.1 ± 1.6,11 ± 2.2,5.8 ± 0.9,7.3 ± 0.1
CG16784,7.4 ± 0.9,7.7 ± 0.2,28 ± 5.3,26 ± 3.0,50 ± 0.5,55 ± 0.9,14 ± 2.2,12 ± 2.2,19 ± 1.2,20 ± 0.1
CG32374,0.2 ± 0.0,0.3 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.2 ± 0.2,0.0 ± 0.0,0.3 ± 0.3,0.1 ± 0.0,0.2 ± 0.0
CG4372,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG11326,0.4 ± 0.1,0.4 ± 0.2,9.8 ± 2.3,14 ± 1.7,72 ± 5.3,85 ± 8.9,0.1 ± 0.1,0.4 ± 0.4,0.6 ± 0.3,1.9 ± 0.2
CG7006,3.4 ± 0.7,3.6 ± 0.3,11 ± 2.6,4.2 ± 1.2,6.1 ± 0.8,3.1 ± 1.0,6.0 ± 1.5,3.5 ± 1.0,9.2 ± 2.8,4.8 ± 0.7
CG7653,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.6 ± 0.3,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.6,0.0 ± 0.0,0.1 ± 0.1
CG16885,0.1 ± 0.1,0.0 ± 0.0,2.0 ± 2.8,0.4 ± 0.2,11 ± 0.4,12 ± 0.3,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.2 ± 0.1
CG2258,25 ± 3.4,26 ± 1.6,3.1 ± 0.5,3.0 ± 0.6,5.8 ± 0.6,7.3 ± 0.6,1.5 ± 0.2,1.5 ± 0.1,2.0 ± 1.0,1.9 ± 0.3
CG43679,8.9 ± 8.5,7.4 ± 11,388 ± 135,371 ± 45,34 ± 20,22 ± 6.0,70 ± 23,83 ± 38,18229 ± 4944,28836 ± 1658
CG9933,4.7 ± 0.1,4.9 ± 0.4,5.9 ± 0.1,5.3 ± 0.5,5.9 ± 0.2,6.1 ± 0.6,6.5 ± 0.5,5.4 ± 1.2,5.5 ± 0.7,5.6 ± 1.0
CG6514,1.2 ± 0.8,1.1 ± 0.4,18 ± 3.9,44 ± 6.6,44 ± 8.6,28 ± 6.7,1.2 ± 0.6,1.3 ± 0.4,1.3 ± 0.2,7.4 ± 0.4
CG15015,14 ± 1.0,15 ± 0.2,6.0 ± 0.6,5.2 ± 0.4,7.5 ± 0.2,9.0 ± 2.0,8.0 ± 3.6,6.6 ± 2.1,5.1 ± 0.2,7.0 ± 0.2
CG13491,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.1,0.2 ± 0.1,0.1 ± 0.2,0.3 ± 0.1,0.1 ± 0.1,0.1 ± 0.1,0.2 ± 0.0,0.1 ± 0.0
CG45764,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG11321,0.1 ± 0.1,0.2 ± 0.1,8.3 ± 0.9,9.3 ± 1.0,1.3 ± 0.1,1.2 ± 0.1,0.0 ± 0.0,0.2 ± 0.3,0.6 ± 0.4,2.7 ± 0.7
CG13280,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.9 ± 0.5,1.3 ± 0.0,1.0 ± 0.0,0.1 ± 0.2,0.8 ± 1.1,0.0 ± 0.0,0.3 ± 0.1
CG8520,9.6 ± 0.5,10 ± 0.4,43 ± 2.0,69 ± 9.4,18 ± 1.8,19 ± 0.7,23 ± 5.0,21 ± 4.5,19 ± 0.2,35 ± 4.6
CG12178,11 ± 1.0,13 ± 0.4,11 ± 0.9,16 ± 3.9,6.2 ± 0.2,8.3 ± 0.9,34 ± 1.8,30 ± 2.6,46 ± 9.7,49 ± 4.2
CG7359,6.7 ± 0.8,6.0 ± 0.4,11 ± 2.2,10 ± 1.6,11 ± 0.4,10 ± 1.0,9.4 ± 0.7,10.0 ± 3.0,20 ± 0.1,19 ± 0.4
CG42493,1.2 ± 0.5,1.1 ± 0.4,0.0 ± 0.0,1.3 ± 0.7,1.1 ± 0.4,1.8 ± 0.3,0.0 ± 0.0,0.5 ± 0.8,0.0 ± 0.0,0.2 ± 0.0
CG7187,15 ± 2.8,16 ± 0.9,8.1 ± 0.6,7.3 ± 1.2,11 ± 0.4,15 ± 1.6,12 ± 2.0,13 ± 0.8,16 ± 0.2,15 ± 2.6
CG14762,81 ± 13,94 ± 3.3,37 ± 4.9,40 ± 4.0,41 ± 0.6,54 ± 9.3,0.8 ± 0.0,0.4 ± 0.1,2.4 ± 0.3,10 ± 0.5
CG7038,19 ± 3.6,16 ± 0.9,22 ± 3.5,23 ± 3.8,23 ± 2.5,20 ± 2.1,28 ± 6.6,28 ± 4.8,15 ± 2.2,20 ± 1.5
CG18735,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG8021,8.8 ± 2.2,7.6 ± 0.7,12 ± 1.6,21 ± 4.2,14 ± 0.9,16 ± 0.6,9.6 ± 2.2,13 ± 2.9,11 ± 1.9,15 ± 0.0
CG34010,0.5 ± 0.2,0.5 ± 0.2,0.3 ± 0.3,0.5 ± 0.4,0.6 ± 0.2,0.5 ± 0.5,7.0 ± 0.6,8.1 ± 2.3,0.2 ± 0.2,0.1 ± 0.0
CG15731,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG30499,3.6 ± 0.6,3.2 ± 0.4,27 ± 4.6,40 ± 4.2,25 ± 0.4,22 ± 5.0,18 ± 5.4,18 ± 7.2,17 ± 7.3,16 ± 0.9
CG8967,2.0 ± 0.2,2.2 ± 0.1,1.0 ± 0.2,1.2 ± 0.4,0.3 ± 0.1,0.3 ± 0.0,1.8 ± 0.2,1.3 ± 0.1,0.1 ± 0.0,0.2 ± 0.0
CG4579,3.7 ± 0.3,3.9 ± 0.0,5.7 ± 1.9,2.9 ± 0.4,3.6 ± 0.4,3.8 ± 0.6,3.5 ± 0.6,2.9 ± 0.2,8.7 ± 4.1,3.4 ± 0.6
CG8993,28 ± 4.1,27 ± 0.9,66 ± 11,89 ± 14,40 ± 0.7,38 ± 1.3,55 ± 6.9,55 ± 10,32 ± 0.8,61 ± 0.7
CG8320,7.0 ± 0.7,7.1 ± 0.4,15 ± 2.4,19 ± 1.9,10 ± 1.2,7.5 ± 1.0,11 ± 1.9,7.9 ± 1.3,15 ± 1.6,10.0 ± 0.1
CG1862,62 ± 13,65 ± 5.9,20 ± 1.3,20 ± 2.7,29 ± 1.3,38 ± 3.5,33 ± 5.7,35 ± 7.0,31 ± 4.6,30 ± 2.2
CG42288,4.3 ± 1.6,4.0 ± 0.1,1.0 ± 0.1,4.1 ± 1.8,1.8 ± 0.0,5.3 ± 3.8,0.2 ± 0.2,2.2 ± 2.9,1.1 ± 0.6,2.6 ± 0.3
CG3819,0.4 ± 0.2,0.3 ± 0.1,52 ± 23,23 ± 15,1.5 ± 1.5,0.2 ± 0.1,0.0 ± 0.0,0.1 ± 0.1,5.3 ± 3.0,34 ± 28
CG11246,9.5 ± 1.1,9.0 ± 0.6,12 ± 0.5,11 ± 1.1,13 ± 1.6,10 ± 0.2,13 ± 0.4,9.6 ± 1.6,15 ± 2.5,13 ± 1.0
CG12317,15 ± 0.8,17 ± 0.6,12 ± 3.4,6.9 ± 0.3,23 ± 1.7,22 ± 5.9,11 ± 1.0,10.0 ± 0.5,14 ± 3.3,8.0 ± 0.3
CG5594,97 ± 14,116 ± 3.3,7.6 ± 2.1,9.8 ± 3.6,25 ± 3.0,36 ± 8.6,2.2 ± 0.2,2.1 ± 0.4,10 ± 1.8,17 ± 0.3
CG12025,34 ± 4.5,37 ± 0.5,32 ± 4.3,34 ± 4.1,86 ± 2.2,103 ± 7.2,6.7 ± 1.5,6.9 ± 0.5,18 ± 1.4,27 ± 1.6
CG6569,0.3 ± 0.0,0.4 ± 0.1,0.2 ± 0.1,1.9 ± 1.1,0.3 ± 0.0,0.4 ± 0.1,0.3 ± 0.4,1.2 ± 1.5,0.3 ± 0.1,0.6 ± 0.2
CG31805,1.2 ± 0.2,1.3 ± 0.1,0.3 ± 0.1,1.0 ± 0.3,0.5 ± 0.0,0.7 ± 0.3,0.4 ± 0.2,0.8 ± 0.9,0.3 ± 0.1,0.6 ± 0.2
CG33986,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.1,0.1 ± 0.1
CG16865,6.0 ± 0.1,5.3 ± 0.1,2.9 ± 0.2,1.8 ± 0.2,3.5 ± 0.1,3.5 ± 0.4,3.1 ± 0.9,3.2 ± 0.6,3.7 ± 1.1,3.5 ± 0.1
CG4281,4.8 ± 0.3,5.0 ± 0.2,6.2 ± 0.9,4.1 ± 0.4,6.3 ± 0.1,5.6 ± 0.4,5.0 ± 0.8,4.0 ± 0.8,8.0 ± 2.0,7.0 ± 0.4
CG15696,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.1 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1
CG32495,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG10021,0.5 ± 0.1,0.4 ± 0.0,3.7 ± 0.3,3.7 ± 0.5,4.1 ± 0.2,5.4 ± 0.1,43 ± 1.2,57 ± 3.2,20 ± 3.8,26 ± 0.2
CG10269,4.8 ± 0.3,5.0 ± 0.3,3.2 ± 0.3,2.6 ± 0.2,3.0 ± 0.1,3.1 ± 0.5,2.5 ± 0.7,3.2 ± 0.5,3.4 ± 0.6,4.4 ± 0.1
CG11994,0.6 ± 0.1,0.7 ± 0.1,2.0 ± 0.1,1.9 ± 0.5,1.8 ± 0.3,2.1 ± 0.0,1.9 ± 1.1,1.5 ± 0.5,2.5 ± 0.0,2.4 ± 0.2
CG1387,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.8 ± 0.5,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.6 ± 0.9,0.0 ± 0.0,0.3 ± 0.1
CG11500,27 ± 3.6,27 ± 2.9,47 ± 6.5,48 ± 5.7,50 ± 5.0,41 ± 6.5,59 ± 23,54 ± 22,249 ± 26,267 ± 36
CG17945,0.4 ± 0.4,0.4 ± 0.3,0.0 ± 0.0,33 ± 24,0.1 ± 0.1,1.9 ± 0.2,8.3 ± 14,69 ± 108,0.0 ± 0.0,14 ± 7.2
CG6185,2.4 ± 0.5,3.1 ± 0.1,0.2 ± 0.1,0.1 ± 0.1,0.3 ± 0.2,0.4 ± 0.1,0.0 ± 0.1,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0
CG12396,5.2 ± 0.1,5.5 ± 0.3,9.3 ± 2.2,3.3 ± 0.2,5.2 ± 0.0,3.0 ± 0.4,5.9 ± 0.2,3.4 ± 0.8,6.5 ± 2.4,3.0 ± 0.2
CG5864,35 ± 3.9,37 ± 0.5,30 ± 1.6,32 ± 1.8,39 ± 3.9,52 ± 3.7,56 ± 12,52 ± 13,44 ± 0.4,47 ± 1.1
CG3174,1.3 ± 0.4,0.6 ± 0.2,30 ± 11,15 ± 3.4,13 ± 0.2,6.5 ± 2.1,249 ± 44,277 ± 72,5.7 ± 0.2,6.9 ± 1.2
CG14443,1.5 ± 0.3,1.3 ± 0.2,0.6 ± 0.1,0.3 ± 0.2,1.1 ± 0.1,1.1 ± 0.4,0.3 ± 0.2,0.4 ± 0.5,0.4 ± 0.1,0.3 ± 0.0
CG43108,0.9 ± 0.3,0.8 ± 0.1,0.0 ± 0.0,1.6 ± 1.4,0.1 ± 0.1,0.2 ± 0.1,0.0 ± 0.0,0.8 ± 1.4,0.0 ± 0.0,0.4 ± 0.2
CG8031,5.2 ± 0.4,5.2 ± 0.6,13 ± 1.3,13 ± 1.5,8.5 ± 0.2,8.0 ± 2.2,19 ± 2.5,20 ± 2.6,9.1 ± 0.0,11 ± 2.3
CG30007,4.9 ± 0.9,5.2 ± 0.3,2.6 ± 0.1,2.3 ± 0.1,2.3 ± 0.1,3.0 ± 0.1,3.7 ± 0.3,5.0 ± 1.0,3.4 ± 0.9,2.6 ± 0.2
CG17917,0.4 ± 0.2,0.3 ± 0.0,0.1 ± 0.0,0.2 ± 0.4,0.1 ± 0.1,0.2 ± 0.2,0.1 ± 0.1,0.3 ± 0.4,0.2 ± 0.2,0.1 ± 0.1
CG8232,8.6 ± 0.9,8.6 ± 0.5,8.7 ± 1.0,8.4 ± 0.3,8.2 ± 0.2,8.6 ± 0.4,17 ± 0.5,21 ± 1.8,12 ± 0.4,16 ± 0.4
CG42729,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.2,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.6,0.2 ± 0.1,0.8 ± 0.2,0.2 ± 0.0
CG4041,4.1 ± 0.4,4.6 ± 0.3,6.1 ± 0.6,4.2 ± 0.5,6.8 ± 0.1,6.8 ± 0.5,4.6 ± 1.3,4.2 ± 0.4,7.9 ± 0.4,9.0 ± 0.0
CG9166,9.1 ± 0.5,9.2 ± 0.6,7.4 ± 0.2,7.8 ± 1.7,6.8 ± 1.1,8.9 ± 0.7,6.0 ± 0.7,5.5 ± 0.8,4.3 ± 1.5,6.7 ± 0.2
CG6038,7.4 ± 0.4,7.1 ± 0.7,9.9 ± 0.9,12 ± 0.5,24 ± 2.0,19 ± 0.7,3.8 ± 1.3,2.6 ± 1.0,14 ± 0.5,22 ± 3.5
CG31932,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG11905,0.1 ± 0.1,0.1 ± 0.2,0.2 ± 0.2,0.1 ± 0.1,0.1 ± 0.1,0.1 ± 0.0,0.0 ± 0.0,0.2 ± 0.4,0.0 ± 0.0,0.1 ± 0.0
CG6271,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.3,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.6 ± 0.7,0.0 ± 0.0,0.0 ± 0.0
CG11537,32 ± 2.6,31 ± 1.9,8.5 ± 0.5,8.1 ± 1.4,22 ± 2.5,31 ± 5.7,38 ± 7.4,32 ± 6.8,24 ± 3.2,54 ± 1.1
CG17362,0.7 ± 0.3,0.8 ± 0.1,0.0 ± 0.0,0.0 ± 0.1,0.1 ± 0.1,0.1 ± 0.0,0.4 ± 0.7,0.0 ± 0.0,0.1 ± 0.1,0.4 ± 0.1
CG9254,2.0 ± 0.6,2.2 ± 0.3,0.3 ± 0.2,9.0 ± 5.3,0.6 ± 0.0,1.0 ± 0.4,2.2 ± 1.4,8.4 ± 10,0.4 ± 0.1,2.4 ± 0.5
CG9392,0.2 ± 0.1,0.2 ± 0.0,0.0 ± 0.0,1.0 ± 0.7,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.9 ± 1.2,0.0 ± 0.0,0.4 ± 0.1
CG14153,2.3 ± 0.2,3.4 ± 0.3,3.1 ± 1.4,5.8 ± 1.5,4.2 ± 0.6,3.6 ± 1.1,0.4 ± 0.2,0.6 ± 0.4,0.7 ± 0.1,0.8 ± 0.4
CG3501,19 ± 0.6,20 ± 1.0,15 ± 1.4,17 ± 1.2,23 ± 0.3,29 ± 1.4,15 ± 4.3,12 ± 2.1,14 ± 2.3,17 ± 1.0
CG3635,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.1,0.2 ± 0.2,0.3 ± 0.0,0.1 ± 0.0,0.1 ± 0.1,0.1 ± 0.1,0.1 ± 0.1,0.1 ± 0.0
CG9231,32 ± 5.2,31 ± 1.5,86 ± 5.9,134 ± 41,37 ± 1.1,37 ± 4.4,89 ± 9.1,87 ± 13,53 ± 5.4,76 ± 8.8
CG7486,3.1 ± 0.3,3.8 ± 0.3,9.5 ± 1.8,7.8 ± 1.5,7.8 ± 0.6,8.8 ± 1.4,11 ± 0.6,13 ± 1.3,12 ± 1.5,14 ± 0.2
CG45487,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.2,0.0 ± 0.0,0.0 ± 0.0
CG3640,0.1 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,9.0 ± 3.7,0.0 ± 0.0,0.0 ± 0.0,0.6 ± 0.1,0.8 ± 0.4,0.0 ± 0.0,0.3 ± 0.2
CG6131,0.0 ± 0.0,0.1 ± 0.1,0.3 ± 0.5,0.0 ± 0.0,0.2 ± 0.1,0.3 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.1
CG12027,0.3 ± 0.0,0.4 ± 0.1,0.0 ± 0.0,1.4 ± 1.0,0.1 ± 0.1,0.2 ± 0.1,0.0 ± 0.0,1.5 ± 2.4,0.0 ± 0.0,0.4 ± 0.0
CG31267,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,1.7 ± 1.5,0.0 ± 0.0,0.0 ± 0.0,1.6 ± 1.0,5.6 ± 2.5,0.0 ± 0.0,0.2 ± 0.0
CG17246,56 ± 3.6,66 ± 3.0,239 ± 38,325 ± 1.3,68 ± 3.4,82 ± 6.6,144 ± 23,139 ± 36,74 ± 4.3,157 ± 10
CG7144,3.0 ± 0.0,2.7 ± 0.2,17 ± 7.3,11 ± 3.9,16 ± 0.2,6.1 ± 1.4,49 ± 6.8,42 ± 4.3,2.2 ± 0.2,3.5 ± 0.1
CG32259,3.2 ± 0.6,2.7 ± 0.2,1.3 ± 0.5,2.9 ± 2.2,2.6 ± 0.0,2.7 ± 0.4,1.9 ± 0.4,2.9 ± 1.5,0.5 ± 0.2,1.3 ± 0.2
CG14258,0.1 ± 0.0,0.1 ± 0.0,0.2 ± 0.1,1.0 ± 0.3,0.4 ± 0.1,0.6 ± 0.0,0.2 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0
CG10018,2.2 ± 0.3,2.5 ± 0.1,2.0 ± 0.9,1.4 ± 0.2,1.4 ± 0.0,1.8 ± 0.1,1.6 ± 0.2,1.1 ± 0.1,3.0 ± 2.4,1.0 ± 0.1
CG12908,0.6 ± 0.2,0.2 ± 0.1,6.8 ± 2.2,0.6 ± 0.2,6.9 ± 0.0,0.2 ± 0.0,2.0 ± 0.5,0.2 ± 0.1,9.8 ± 2.3,9.1 ± 0.4
CG8001,4.8 ± 0.2,5.1 ± 0.4,4.4 ± 0.5,5.4 ± 0.9,8.1 ± 0.3,7.9 ± 1.0,3.4 ± 0.9,4.2 ± 0.5,3.7 ± 0.4,4.6 ± 0.2
CG9796,9.1 ± 1.6,7.6 ± 0.8,35 ± 4.1,35 ± 3.4,46 ± 1.0,46 ± 4.5,4.3 ± 1.8,1.3 ± 0.6,87 ± 9.2,102 ± 5.7
CG14463,7.3 ± 0.7,8.0 ± 0.3,4.6 ± 0.6,4.7 ± 0.8,4.1 ± 1.2,5.2 ± 0.5,5.9 ± 0.8,5.7 ± 0.9,4.4 ± 0.5,4.5 ± 1.1
CG4625,9.4 ± 0.7,12 ± 0.4,5.9 ± 0.7,7.1 ± 1.3,5.5 ± 0.3,7.7 ± 0.1,9.4 ± 2.2,8.3 ± 2.2,4.6 ± 0.8,5.6 ± 0.2
CG5550,0.1 ± 0.1,0.0 ± 0.0,1.1 ± 0.9,0.4 ± 0.1,0.2 ± 0.0,0.6 ± 0.2,0.0 ± 0.0,0.2 ± 0.2,0.2 ± 0.2,0.2 ± 0.1
CG17180,5.1 ± 0.4,5.4 ± 0.4,2.6 ± 0.8,2.5 ± 0.5,6.0 ± 0.4,6.8 ± 0.1,2.6 ± 0.5,2.3 ± 0.8,2.3 ± 0.3,3.0 ± 0.1
CG7269,16 ± 0.2,16 ± 0.9,31 ± 5.4,21 ± 0.3,26 ± 1.4,24 ± 1.4,24 ± 3.3,22 ± 5.7,38 ± 17,28 ± 0.4
CG15256,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.5 ± 1.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.8 ± 2.9,0.0 ± 0.0,0.4 ± 0.4
CG43427,12 ± 1.6,13 ± 0.3,17 ± 2.5,16 ± 2.0,27 ± 2.0,36 ± 7.6,40 ± 0.9,39 ± 4.8,25 ± 4.6,49 ± 4.2
CG4935,3.6 ± 0.0,3.5 ± 0.4,1.8 ± 0.5,2.0 ± 0.2,1.9 ± 0.2,2.5 ± 0.1,1.8 ± 0.5,1.8 ± 0.7,1.9 ± 1.0,1.6 ± 0.2
CG8167,145 ± 18,128 ± 12,0.2 ± 0.4,0.2 ± 0.4,2.1 ± 1.4,1.4 ± 0.6,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.1,0.2 ± 0.1
CG12127,6.8 ± 0.4,5.9 ± 0.5,6.7 ± 1.0,6.6 ± 0.4,7.2 ± 0.5,6.1 ± 0.3,6.3 ± 1.9,6.2 ± 1.1,6.3 ± 0.4,6.6 ± 0.1
CG1900,3.9 ± 0.5,3.9 ± 0.5,5.6 ± 0.4,5.9 ± 0.9,5.6 ± 0.0,6.3 ± 0.0,4.7 ± 0.4,4.5 ± 0.9,5.1 ± 0.9,5.8 ± 0.5
CG7548,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG15685,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG3239,12 ± 0.5,11 ± 0.4,67 ± 18,37 ± 2.8,30 ± 2.5,8.9 ± 2.7,1.7 ± 0.3,4.1 ± 0.6,1.2 ± 0.0,3.1 ± 0.3
CG1468,3.7 ± 1.6,2.0 ± 0.8,110 ± 37,118 ± 26,64 ± 7.5,48 ± 23,20 ± 1.7,9.8 ± 1.8,1.8 ± 1.0,7.6 ± 1.1
CG6582,49 ± 8.5,51 ± 3.8,16 ± 1.5,14 ± 3.5,17 ± 2.3,22 ± 3.6,16 ± 0.6,16 ± 0.9,21 ± 2.4,20 ± 1.2
CG5032,3.6 ± 0.2,3.6 ± 0.2,3.8 ± 0.5,3.4 ± 0.3,3.9 ± 0.1,3.6 ± 0.1,3.4 ± 0.4,3.7 ± 0.4,3.9 ± 1.8,3.2 ± 0.3
CG10946,11 ± 1.2,12 ± 0.9,0.4 ± 0.1,0.6 ± 0.2,0.9 ± 0.1,1.2 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.1
